,name,slug,image,description
0,Японские розы,yaponskie_rozy,image_category/yaponskie_rozy,Японские розы — это невероятное сочетание изысканности и изящества. Их великолепные цветы с волнующими лепестками создают впечатление магии и загадочности. Эти розы обладают уникальной способностью подарить саду роскошь и неповторимую атмосферу.
1,Пионовидные розы,pionovidnye_rozy,image_category/pionovidnye_rozy,"Пионовидные розы — настоящее воплощение пышности и роскоши. Их крупные, плотно уложенные лепестки создают видимость цветущего пиона. Эти розы — истинные королевы сада, манящие своей непревзойденной красотой."
2,Садовые розы премиум класса,sadovye_rozy_premium_klassa,image_category/sadovye_rozy_premium_klassa,Садовые розы премиум класса — это венец элегантности и изысканности. Их нежные цветы обрамлены сочной зеленью и наполняют воздух ароматом роскоши. Эти розы — настоящие жемчужины вашего сада.
3,Миниатюрные розы,miniatyurnie_cprei_rozi,image_category/miniatyurnie_cprei_rozi,"Миниатюрные розы — нежные чудеса, которые прячут в себе неповторимый мир миниатюрной красоты. Их компактный размер и изысканные цветы делают их идеальными для создания уютных уголков и альпийских горок."
4,Плетистые розы,pletictie_rozi,image_category/pletictie_rozi,"Плетистые розы — природные художники, которые создают живые шедевры на вашем садовом ландшафте. Их изящные побеги изогнутся в невероятные формы, усыпанные цветами. Эти розы придают вашему саду неповторимую романтичность."
5,Чайно-гибридные розы,chaino_gibridnie_rozi,image_category/chaino_gibridnie_rozi,Чайно-гибридные розы — классическая красота в ее лучшем проявлении. Их элегантные цветы с волнистыми лепестками обладают неповторимой аурой. Эти розы олицетворяют изысканность и благородство.
6,Английские розы (срезочные),angliyskie_srezochnye_rozy,image_category/angliyskie_srezochnye_rozy,"Английские розы (срезочные) — это розы, которые наполняют воздух своим утонченным, аристократическим ароматом. Их пышные цветы собраны в шикарные букеты, создавая неповторимую романтическую атмосферу."
7,Флорибунда розы,floribunda_rozi,image_category/floribunda_rozi,Флорибунда (Полифлора) розы — настоящий фейерверк красок и благоухания. Их множество цветков на ветвях создает ощущение праздника. Эти розы приносят радость и яркость в ваш сад.
8,Английские розы,anglijskie_rozy,image_category/anglijskie_rozy,Английские розы — это символ роскоши и утонченности. Их роскошные цветы с ароматом истинной английской розы уносят вас в мир элегантности и изысканности.
9,Мускусные розы,muskusnye_rozy,image_category/muskusnye_rozy,"Мускусные розы — волшебные цветы с нежным ароматом, который завораживает и уносит вас в мир романтики. Их нежные лепестки создают ощущение нежности и неземной красоты."
10,Шрабы,shraby,image_category/shraby,"Шрабы – это разнообразные и обильноцветущие розы, которые обладают высокой устойчивостью к болезням и морозам. Их густые кусты украшают сады великолепными, множественными цветами, создавая эффектные акценты. Шрабы привлекают внимание своими крупными соцветиями разнообразных оттенков, от нежных пастельных до ярких насыщенных цветов. Они подходят как для одиночных посадок, так и для живописных живых изгородей."
11,Почвопокровные,pochvopokrovnie_rozi,image_category/pochvopokrovnie_rozi,"Почвопокровные розы, или ковровые розы, создают завораживающие цветочные ковры, укрывая землю красочными цветами. Их низкорослые и раскидистые кусты эффективно заполняют пространство, подавляя рост сорняков и создавая неповторимый ландшафтный дизайн. Эти розы особенно хороши для оформления склонов, бордюров, садовых дорожек и даже контейнеров. Их мелкие, но обильные цветы придают саду очарование и непринужденность."
